I, [2018-10-02T20:23:42.534782 #5111]  INFO -- Kitchen: -----> Starting Kitchen (v1.23.2)
E, [2018-10-02T20:23:42.535491 #5111] ERROR -- Kitchen: ------Exception-------
E, [2018-10-02T20:23:42.535528 #5111] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-10-02T20:23:42.535545 #5111] ERROR -- Kitchen: Message: Kitchen YAML file /root/chef-repo/cookbooks/456/recipes/.kitchen.yml does not exist.
E, [2018-10-02T20:23:42.535558 #5111] ERROR -- Kitchen: ----------------------
E, [2018-10-02T20:23:42.535570 #5111] ERROR -- Kitchen: ------Backtrace-------
E, [2018-10-02T20:23:42.535580 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-10-02T20:23:42.535592 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:152:in `data'
E, [2018-10-02T20:23:42.535603 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:131:in `suites'
E, [2018-10-02T20:23:42.535615 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-10-02T20:23:42.535626 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-10-02T20:23:42.535654 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:117:in `instances'
E, [2018-10-02T20:23:42.535667 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-10-02T20:23:42.535678 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-10-02T20:23:42.535689 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-10-02T20:23:42.535700 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2018-10-02T20:23:42.535711 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command/action.rb:34:in `call'
E, [2018-10-02T20:23:42.535722 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/cli.rb:52:in `perform'
E, [2018-10-02T20:23:42.535733 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-10-02T20:23:42.535745 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/command.rb:27:in `run'
E, [2018-10-02T20:23:42.535755 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-10-02T20:23:42.535766 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor.rb:387:in `dispatch'
E, [2018-10-02T20:23:42.535778 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/base.rb:466:in `start'
E, [2018-10-02T20:23:42.535789 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/bin/kitchen:13:in `block in <top (required)>'
E, [2018-10-02T20:23:42.535800 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-10-02T20:23:42.535811 #5111] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/bin/kitchen:13:in `<top (required)>'
E, [2018-10-02T20:23:42.535822 #5111] ERROR -- Kitchen: /bin/kitchen:292:in `load'
E, [2018-10-02T20:23:42.535832 #5111] ERROR -- Kitchen: /bin/kitchen:292:in `<main>'
E, [2018-10-02T20:23:42.535843 #5111] ERROR -- Kitchen: ----End Backtrace-----
